video_name,class
19VacinaSinalizador05-2.pt,Vacina
16MedoSinalizador11-1.pt,Medo
15MacaSinalizador11-4.pt,Maca
18SapoSinalizador10-2.pt,Sapo
02AlunoSinalizador02-2.pt,Aluno
11ConhecerSinalizador08-2.pt,Conhecer
01AcontecerSinalizador02-4.pt,Acontecer
01AcontecerSinalizador06-2.pt,Acontecer
02AlunoSinalizador06-2.pt,Aluno
05AproveitarSinalizador10-4.pt,Aproveitar
17RuimSinalizador05-4.pt,Ruim
02AlunoSinalizador08-2.pt,Aluno
11ConhecerSinalizador08-4.pt,Conhecer
05AproveitarSinalizador12-2.pt,Aproveitar
08BanheiroSinalizador02-2.pt,Banheiro
04AmericaSinalizador06-4.pt,America
14FilhoSinalizador10-2.pt,Filho
10CincoSinalizador01-1.pt,Cinco
03AmareloSinalizador02-4.pt,Amarelo
04AmericaSinalizador12-1.pt,America
11ConhecerSinalizador05-4.pt,Conhecer
20VontadeSinalizador02-4.pt,Vontade
14FilhoSinalizador11-1.pt,Filho
20VontadeSinalizador11-4.pt,Vontade
14FilhoSinalizador06-4.pt,Filho
05AproveitarSinalizador06-1.pt,Aproveitar
20VontadeSinalizador02-1.pt,Vontade
15MacaSinalizador10-4.pt,Maca
09BarulhoSinalizador10-1.pt,Barulho
03AmareloSinalizador06-4.pt,Amarelo
13EsquinaSinalizador05-2.pt,Esquina
06BalaSinalizador12-1.pt,Bala
12EspelhoSinalizador06-4.pt,Espelho
01AcontecerSinalizador12-4.pt,Acontecer
18SapoSinalizador12-2.pt,Sapo
11ConhecerSinalizador02-1.pt,Conhecer
05AproveitarSinalizador12-1.pt,Aproveitar
11ConhecerSinalizador10-1.pt,Conhecer
08BanheiroSinalizador01-2.pt,Banheiro
09BarulhoSinalizador08-2.pt,Barulho
03AmareloSinalizador05-2.pt,Amarelo
04AmericaSinalizador11-4.pt,America
11ConhecerSinalizador06-4.pt,Conhecer
01AcontecerSinalizador05-4.pt,Acontecer
13EsquinaSinalizador12-4.pt,Esquina
10CincoSinalizador08-1.pt,Cinco
12EspelhoSinalizador10-1.pt,Espelho
19VacinaSinalizador11-4.pt,Vacina
12EspelhoSinalizador05-4.pt,Espelho
16MedoSinalizador08-1.pt,Medo
05AproveitarSinalizador08-2.pt,Aproveitar
10CincoSinalizador05-1.pt,Cinco
03AmareloSinalizador01-2.pt,Amarelo
20VontadeSinalizador08-1.pt,Vontade
08BanheiroSinalizador05-2.pt,Banheiro
02AlunoSinalizador01-2.pt,Aluno
13EsquinaSinalizador02-2.pt,Esquina
16MedoSinalizador02-4.pt,Medo
08BanheiroSinalizador02-1.pt,Banheiro
06BalaSinalizador08-4.pt,Bala
13EsquinaSinalizador01-2.pt,Esquina
13EsquinaSinalizador01-4.pt,Esquina
08BanheiroSinalizador11-1.pt,Banheiro
04AmericaSinalizador12-2.pt,America
19VacinaSinalizador05-1.pt,Vacina
04AmericaSinalizador12-4.pt,America
03AmareloSinalizador02-2.pt,Amarelo
11ConhecerSinalizador06-2.pt,Conhecer
09BarulhoSinalizador02-1.pt,Barulho
16MedoSinalizador11-2.pt,Medo
01AcontecerSinalizador11-4.pt,Acontecer
02AlunoSinalizador05-2.pt,Aluno
11ConhecerSinalizador08-1.pt,Conhecer
18SapoSinalizador02-4.pt,Sapo
09BarulhoSinalizador06-2.pt,Barulho
20VontadeSinalizador01-1.pt,Vontade
01AcontecerSinalizador01-2.pt,Acontecer
09BarulhoSinalizador06-4.pt,Barulho
07BancoSinalizador05-4.pt,Banco
12EspelhoSinalizador02-4.pt,Espelho
17RuimSinalizador05-2.pt,Ruim
17RuimSinalizador06-2.pt,Ruim
11ConhecerSinalizador11-1.pt,Conhecer
04AmericaSinalizador10-2.pt,America
04AmericaSinalizador08-2.pt,America
17RuimSinalizador08-4.pt,Ruim
20VontadeSinalizador11-2.pt,Vontade
19VacinaSinalizador12-2.pt,Vacina
06BalaSinalizador11-1.pt,Bala
19VacinaSinalizador12-1.pt,Vacina
09BarulhoSinalizador02-2.pt,Barulho
03AmareloSinalizador12-4.pt,Amarelo
01AcontecerSinalizador10-1.pt,Acontecer
05AproveitarSinalizador08-4.pt,Aproveitar
17RuimSinalizador10-4.pt,Ruim
17RuimSinalizador08-1.pt,Ruim
16MedoSinalizador01-4.pt,Medo
11ConhecerSinalizador02-2.pt,Conhecer
17RuimSinalizador02-2.pt,Ruim
04AmericaSinalizador06-2.pt,America
14FilhoSinalizador12-2.pt,Filho
10CincoSinalizador11-2.pt,Cinco
14FilhoSinalizador12-4.pt,Filho
11ConhecerSinalizador01-2.pt,Conhecer
19VacinaSinalizador10-4.pt,Vacina
10CincoSinalizador05-2.pt,Cinco
20VontadeSinalizador06-2.pt,Vontade
03AmareloSinalizador06-2.pt,Amarelo
14FilhoSinalizador01-4.pt,Filho
15MacaSinalizador06-1.pt,Maca
08BanheiroSinalizador05-4.pt,Banheiro
18SapoSinalizador08-2.pt,Sapo
12EspelhoSinalizador08-1.pt,Espelho
12EspelhoSinalizador05-1.pt,Espelho
05AproveitarSinalizador10-2.pt,Aproveitar
19VacinaSinalizador05-4.pt,Vacina
01AcontecerSinalizador08-1.pt,Acontecer
15MacaSinalizador06-2.pt,Maca
11ConhecerSinalizador05-2.pt,Conhecer
05AproveitarSinalizador11-1.pt,Aproveitar
03AmareloSinalizador05-4.pt,Amarelo
19VacinaSinalizador08-1.pt,Vacina
17RuimSinalizador12-4.pt,Ruim
12EspelhoSinalizador11-2.pt,Espelho
19VacinaSinalizador01-4.pt,Vacina
14FilhoSinalizador01-1.pt,Filho
16MedoSinalizador12-4.pt,Medo
18SapoSinalizador08-4.pt,Sapo
